Arrow_ID,P01_Adaptive_Score,P01_Fixed_Score,P02_Adaptive_Score,P02_Fixed_Score,P03_Adaptive_Score,P03_Fixed_Score,P04_Adaptive_Score,P04_Fixed_Score,P05_Adaptive_Score,P05_Fixed_Score,P06_Adaptive_Score,P06_Fixed_Score,P07_Adaptive_Score,P07_Fixed_Score,P08_Adaptive_Score,P08_Fixed_Score,P09_Adaptive_Score,P09_Fixed_Score,P10_Adaptive_Score,P10_Fixed_Score,P11_Adaptive_Score,P11_Fixed_Score,P12_Adaptive_Score,P12_Fixed_Score,P13_Adaptive_Score,P13_Fixed_Score,P14_Adaptive_Score,P14_Fixed_Score,P15_Adaptive_Score,P15_Fixed_Score,P16_Adaptive_Score,P16_Fixed_Score,P17_Adaptive_Score,P17_Fixed_Score,P18_Adaptive_Score,P18_Fixed_Score,P19_Adaptive_Score,P19_Fixed_Score,P20_Adaptive_Score,P20_Fixed_Score,P21_Adaptive_Score,P21_Fixed_Score,P22_Adaptive_Score,P22_Fixed_Score,P01_Adaptive_Time,P01_Fixed_Time,P02_Adaptive_Time,P02_Fixed_Time,P03_Adaptive_Time,P03_Fixed_Time,P04_Adaptive_Time,P04_Fixed_Time,P05_Adaptive_Time,P05_Fixed_Time,P06_Adaptive_Time,P06_Fixed_Time,P07_Adaptive_Time,P07_Fixed_Time,P08_Adaptive_Time,P08_Fixed_Time,P09_Adaptive_Time,P09_Fixed_Time,P10_Adaptive_Time,P10_Fixed_Time,P11_Adaptive_Time,P11_Fixed_Time,P12_Adaptive_Time,P12_Fixed_Time,P13_Adaptive_Time,P13_Fixed_Time,P14_Adaptive_Time,P14_Fixed_Time,P15_Adaptive_Time,P15_Fixed_Time,P16_Adaptive_Time,P16_Fixed_Time,P17_Adaptive_Time,P17_Fixed_Time,P18_Adaptive_Time,P18_Fixed_Time,P19_Adaptive_Time,P19_Fixed_Time,P20_Adaptive_Time,P20_Fixed_Time,P21_Adaptive_Time,P21_Fixed_Time,P22_Adaptive_Time,P22_Fixed_Time
11,6,7,8,9,10,9,7,8,5,8,8,8,7,7,7,10,7,9,8,8,6,6,7,9,7,7,7,6,6,7,6,7,6,6,7,9,9,10,6,7,9,9,6,8,7.958,7.4148,9.3398,7.1086,6.1575,6.6659,7.464,7.4638,7.4259,7.7629,7.9466,9.1621,6.7709,9.3176,8.4954,7.1039,9.0771,6.9751,6.5617,6.1249,6.5078,8.9358,8.8958,7.1386,7.5794,8.0797,5.1205,4.6741,9.4127,8.9082,8.106,7.8376,8.023,8.5157,9.2171,7.1595,7.3575,6.1821,9.1711,9.2912,7.9051,6.0885,7.9751,8.1344
12,6,7,7,10,8,10,9,10,4,8,5,7,6,7,9,8,7,8,8,8,7,6,8,10,7,8,8,7,7,6,6,6,6,8,7,9,7,8,5,7,6,9,6,7,6.9437,6.2284,8.2092,6.7289,6.4182,8.0007,8.6369,6.5088,7.4971,7.0145,8.1146,8.3751,9.3491,7.9662,9.3769,9.7992,6.6172,6.9803,8.5185,7.4348,9.8228,7.1668,7.928,8.8072,10.282,7.5969,7.8835,5.7814,6.4534,7.653,7.1097,7.9336,9.2185,6.768,7.307,7.0328,7.9072,6.5522,8.0856,7.0695,7.4194,6.8502,9.305,8.7599
13,7,7,8,9,8,10,8,10,5,6,6,8,4,6,9,9,7,9,8,9,5,8,9,8,8,8,7,6,5,7,6,8,7,8,6,7,8,10,6,8,9,8,5,7,9.5038,7.7567,8.8017,7.9282,9.1178,8.233,8.1473,6.2702,8.1739,7.7573,7.6803,8.7783,7.1083,6.9174,7.5102,7.7715,8.637,7.6375,8.9896,6.6776,7.6344,8.9766,6.9524,7.5776,8.587,6.4884,6.9881,6.4061,8.9655,7.541,6.6196,7.3949,6.5406,6.6209,6.175,7.9441,7.4571,7.9941,8.7186,7.9907,8.0019,8.6035,8.3879,7.4012
14,7,9,7,8,8,10,9,10,6,8,6,8,6,6,7,8,7,8,9,10,6,8,7,10,7,7,6,8,5,7,6,8,4,7,8,9,9,8,6,8,7,9,7,7,9.1455,8.028,6.704,7.6994,6.9414,7.4508,7.4386,6.0995,9.9016,6.1152,8.6631,8.093,7.7029,6.5409,7.8986,6.675,9.7767,9.0279,8.3679,6.647,8.3526,7.0006,7.3362,8.2708,8.2657,8.524,6.9783,8.683,7.809,6.0824,7.1202,7.3729,8.9567,7.518,7.0406,9.2092,8.8655,7.7941,7.6529,7.829,7.5231,8.8033,8.6436,9.5448
15,7,9,8,9,7,9,8,8,7,8,6,8,6,8,8,9,6,9,8,9,6,6,8,8,7,7,5,7,6,8,5,6,5,6,7,7,8,9,5,8,9,9,6,7,7.4962,7.3523,8.3234,7.4564,8.7073,6.0197,7.8241,7.656,7.4408,7.3136,7.3278,5.6464,7.3029,6.5713,9.1143,6.6688,9.7268,8.615,6.2434,5.9945,10.0307,7.2458,8.2638,9.6862,7.1294,7.6708,9.9364,7.8768,7.0567,6.6725,9.2663,9.7371,7.8021,7.9982,7.8642,6.898,9.3875,7.8455,8.1111,8.7552,8.5728,8.3715,9.1428,6.6777
16,7,8,8,8,7,9,7,8,5,8,5,8,6,8,6,9,8,9,8,9,5,6,7,9,6,9,5,6,5,8,6,6,4,7,7,8,7,8,5,7,7,9,3,6,10.6843,9.4928,9.3797,7.495,9.2408,8.3829,10.1252,6.0814,9.5119,9.0063,6.6096,5.3606,8.7412,7.3574,10.5541,7.0432,8.9273,5.4501,9.117,6.0551,8.2242,6.6006,9.3735,7.7428,7.474,5.607,9.2427,8.0007,7.6921,5.3783,9.6348,6.1501,7.2227,8.3425,9.9629,6.9674,8.7165,6.7932,6.1096,7.3211,8.656,6.6736,9.8209,7.5227
17,6,8,7,9,7,9,8,8,4,7,4,8,6,8,7,9,7,9,8,9,4,8,6,8,7,7,6,8,5,6,5,8,6,8,7,7,7,8,6,7,7,9,5,7,10.7008,6.5884,9.2594,9.9832,8.373,6.2778,9.831,7.5388,10.856,7.3644,10.2762,8.129,9.1565,6.4938,8.5927,7.8595,9.4202,7.151,7.6296,8.4568,8.2926,6.7549,10.4667,9.1039,9.797,6.9663,9.5261,6.247,9.3432,6.2001,8.7028,10.1017,9.786,8.0871,8.5686,7.7866,7.0394,7.4196,9.9211,6.6976,8.1016,8.5594,7.3194,8.497
18,4,9,8,8,9,9,8,8,6,8,7,7,6,7,7,9,7,9,7,8,5,6,7,9,6,8,6,7,4,7,6,6,5,8,6,9,7,9,4,8,9,9,6,7,9.9673,6.423,8.3188,7.8211,9.6521,7.9178,9.0459,7.9864,8.557,6.5206,8.6568,7.4736,8.4941,8.1695,7.3703,7.015,10.1258,6.7443,9.9526,10.0346,10.8145,7.7521,10.1495,7.8037,10.714,7.3637,9.3883,7.0306,9.4619,8.5376,9.1667,9.1642,6.4397,6.2182,9.4211,7.8284,8.7802,8.0522,8.0143,7.8965,8.701,7.1247,10.5174,7.5587
19,6,8,9,9,6,9,8,9,4,6,6,6,5,7,8,8,7,8,7,9,5,7,8,9,5,8,7,8,5,8,7,7,5,6,6,8,9,9,6,6,8,9,5,7,8.8491,5.6822,9.4944,6.3567,9.2126,7.6761,8.7144,6.923,10.3772,7.2314,9.2102,6.0265,8.4759,6.4273,9.0961,6.5432,9.1763,9.2764,9.5825,7.584,9.2471,6.5271,9.481,7.7121,7.6821,8.2888,8.9687,7.0929,9.5773,9.7737,9.4102,6.9707,9.4125,7.2112,10.7522,6.6752,9.5328,7.8227,11.0825,6.7283,10.5407,7.9402,10.0946,7.8338
20,6,9,6,9,7,9,8,9,5,9,8,9,6,9,6,9,7,9,8,9,5,7,8,9,6,9,6,7,6,8,6,7,4,9,7,9,7,9,5,7,8,9,7,9,7.1573,7.8434,9.686,8.2703,9.8767,6.3813,8.8909,7.1342,10.2694,6.6949,10.0283,7.3441,8.488,8.1553,7.7282,7.9059,8.9692,8.7902,8.9354,8.1046,10.2121,7.3195,9.4761,7.7152,10.1974,8.2167,10.0773,8.3732,10.3852,7.2077,8.7108,9.1577,9.2037,7.3352,9.8791,6.9897,10.7558,6.9613,8.2954,7.2503,8.5927,6.4576,10.4537,7.208
